Date,Open,High,Low,Close,Adj Close,Volume
10/21/2019,187.039993,189.910004,186.75,189.759995,189.759995,8122600
10/22/2019,190,190.649994,181.5,182.339996,182.339996,19537600
10/23/2019,182.009995,186.380005,182,186.149994,186.149994,12300400
10/24/2019,184.619995,186.729996,182.800003,186.380005,186.380005,11413500
10/25/2019,185.830002,189,185.089996,187.889999,187.889999,8061200
10/28/2019,187.199997,189.529999,185.080002,189.399994,189.399994,13657900
10/29/2019,191.690002,192.529999,188.470001,189.309998,189.309998,13574900
10/30/2019,189.559998,190.449997,185.979996,188.25,188.25,28734600
10/31/2019,196.699997,198.089996,188.25,191.649994,191.649994,42286500
11/1/2019,192.850006,194.110001,189.910004,193.619995,193.619995,21711800
11/4/2019,194.550003,197.369995,193.809998,194.720001,194.720001,16371300
11/5/2019,195.369995,195.75,193.600006,194.320007,194.320007,9942000
11/6/2019,194.029999,194.369995,191.350006,191.550003,191.550003,10973000
11/7/2019,191.910004,193.440002,189.470001,190.419998,190.419998,13473000
11/8/2019,190,192.339996,189.699997,190.839996,190.839996,10760800
11/11/2019,189.929993,190.080002,188.539993,189.610001,189.610001,8631200
11/12/2019,190,195.059998,189.740005,194.470001,194.470001,17615500
11/13/2019,194.699997,195.699997,192.740005,193.190002,193.190002,10860700
11/14/2019,192.929993,194.029999,191.449997,193.149994,193.149994,9040500
11/15/2019,194.259995,195.300003,193.380005,195.100006,195.100006,11524300
11/18/2019,194.559998,198.630005,193.050003,197.399994,197.399994,16167200
11/19/2019,197.399994,200,196.860001,199.320007,199.320007,19056800
11/20/2019,198.580002,199.589996,195.429993,197.509995,197.509995,12355400
11/21/2019,197.419998,199.089996,196.860001,197.929993,197.929993,12131000
11/22/2019,198.380005,199.300003,197.619995,198.820007,198.820007,9959800
11/25/2019,199.520004,200.970001,199.25,199.789993,199.789993,15272300
11/26/2019,200,200.149994,198.039993,198.970001,198.970001,11735500
11/27/2019,199.899994,203.139999,199.419998,202,202,12736600
11/29/2019,201.600006,203.800003,201.210007,201.639999,201.639999,7985200
12/2/2019,202.130005,202.179993,198.050003,199.699997,199.699997,11503400
12/3/2019,197.600006,198.929993,195.080002,198.820007,198.820007,11595300
12/4/2019,200,200.029999,198.050003,198.710007,198.710007,8456300
12/5/2019,199.860001,201.289993,198.210007,199.360001,199.360001,9740400
12/6/2019,200.5,201.570007,200.059998,201.050003,201.050003,12270600
12/9/2019,200.649994,203.139999,200.210007,201.339996,201.339996,11954800
12/10/2019,201.660004,202.050003,200.149994,200.869995,200.869995,9475700
12/11/2019,200.279999,202.630005,200.279999,202.259995,202.259995,8036800
12/12/2019,202.350006,203.660004,194.100006,196.75,196.75,23734800
12/13/2019,196.399994,196.800003,193.169998,194.110001,194.110001,18798000
12/16/2019,195.270004,199.119995,194.809998,197.919998,197.919998,14911500
12/17/2019,198.839996,199,196.130005,198.389999,198.389999,10175700
12/18/2019,200.089996,204.300003,200.089996,202.5,202.5,23274400
12/19/2019,202.779999,206.300003,202.509995,206.059998,206.059998,16514600
12/20/2019,207.479996,207.710007,203.429993,206.300003,206.300003,27306900
12/23/2019,206.699997,208.589996,205.679993,206.179993,206.179993,13348900
12/24/2019,206.300003,206.789993,205,205.119995,205.119995,6046300
12/26/2019,205.570007,207.820007,205.309998,207.789993,207.789993,9350700
12/27/2019,208.669998,208.929993,206.589996,208.100006,208.100006,10284200
12/30/2019,207.860001,207.899994,203.899994,204.410004,204.410004,10524300
12/31/2019,204,205.559998,203.600006,205.25,205.25,8953500
1/2/2020,206.75,209.789993,206.270004,209.779999,209.779999,12077100
1/3/2020,207.210007,210.399994,206.949997,208.669998,208.669998,11188400
1/6/2020,206.699997,212.779999,206.520004,212.600006,212.600006,17058900
1/7/2020,212.820007,214.580002,211.75,213.059998,213.059998,14912400
1/8/2020,213,216.240005,212.610001,215.220001,215.220001,13475000
1/9/2020,217.539993,218.380005,216.279999,218.300003,218.300003,12642800
1/10/2020,219.199997,219.880005,217.419998,218.059998,218.059998,12119400
1/13/2020,219.600006,221.970001,219.210007,221.910004,221.910004,14463400
1/14/2020,221.610001,222.380005,218.630005,219.059998,219.059998,13288900
1/15/2020,220.610001,221.679993,220.139999,221.149994,221.149994,10036500
1/16/2020,222.570007,222.630005,220.389999,221.770004,221.770004,10015300
1/17/2020,222.029999,222.289993,220.529999,222.139999,222.139999,15905900
1/21/2020,222.160004,222.369995,219.119995,221.440002,221.440002,14275800
1/22/2020,222.309998,222.75,221.279999,221.320007,221.320007,12212800
1/23/2020,220.75,221.490005,219.270004,219.759995,219.759995,11195000
1/24/2020,220.800003,221.779999,216.110001,217.940002,217.940002,11905800
1/27/2020,213.100006,216.059998,212.5,214.869995,214.869995,13810700
1/28/2020,216.139999,218.740005,213.520004,217.789993,217.789993,13413800
1/29/2020,221.440002,224.199997,218.449997,223.229996,223.229996,33181300
1/30/2020,206.529999,211.429993,204.75,209.529999,209.529999,48775500
1/31/2020,208.429993,208.690002,201.059998,201.910004,201.910004,31359900
2/3/2020,203.440002,205.139999,202.5,204.190002,204.190002,15510500
2/4/2020,206.619995,210.600006,205.199997,209.830002,209.830002,19628900
2/5/2020,212.509995,212.729996,208.710007,210.110001,210.110001,12538200
2/6/2020,210.470001,211.190002,209.339996,210.850006,210.850006,10567500
2/7/2020,210.300003,212.820007,209.929993,212.330002,212.330002,12242500
2/10/2020,211.520004,213.800003,210.660004,213.059998,213.059998,11856400
2/11/2020,210.190002,210.860001,206.509995,207.190002,207.190002,25030800
2/12/2020,207.850006,211.220001,207.399994,210.759995,210.759995,13813700
2/13/2020,209.520004,214.330002,209.179993,213.139999,213.139999,15396600
2/14/2020,214,214.929993,212.649994,214.179993,214.179993,10741700
2/18/2020,213.550003,217.979996,213.399994,217.800003,217.800003,15609200
2/19/2020,217.990005,218.320007,216.110001,217.490005,217.490005,12135100
2/20/2020,216.520004,218.770004,212.949997,214.580002,214.580002,13109200
2/21/2020,213.479996,214.240005,208.830002,210.179993,210.179993,14092300
2/24/2020,201.800003,203.649994,198.169998,200.720001,200.720001,23080100
2/25/2020,202.25,203.5,195.949997,196.770004,196.770004,21433500
2/26/2020,197.190002,201.210007,195.490005,197.199997,197.199997,16524500
2/27/2020,191.820007,195.880005,189.5,189.75,189.75,21682600
2/28/2020,182.699997,192.740005,181.820007,192.470001,192.470001,32583500
3/2/2020,194.029999,196.570007,188.850006,196.440002,196.440002,24949000
3/3/2020,196.220001,197.240005,183.970001,185.889999,185.889999,27984100
3/4/2020,189.169998,191.830002,186.389999,191.759995,191.759995,23062500
3/5/2020,186.779999,188.990005,183.889999,185.169998,185.169998,19333400
3/6/2020,178.330002,183.779999,176.259995,181.089996,181.089996,24559600
3/9/2020,169.600006,175,165.190002,169.5,169.5,29949000
3/10/2020,174.669998,178.289993,169.5,178.190002,178.190002,24517800
3/11/2020,174.009995,175.880005,167.660004,170.240005,170.240005,20373900
3/12/2020,159.539993,166.600006,154.339996,154.470001,154.470001,43266300
3/13/2020,163.529999,170.789993,157.600006,170.279999,170.279999,35028600
3/16/2020,152.320007,159.130005,143.100006,146.009995,146.009995,39120400
3/17/2020,150.740005,153.940002,140,149.419998,149.419998,34255600
3/18/2020,139.75,148.179993,137.100006,146.960007,146.960007,37553100
3/19/2020,146.619995,159.929993,144.800003,153.130005,153.130005,39862300
3/20/2020,156.020004,159.270004,148,149.729996,149.729996,32568400
3/23/2020,149.660004,152.309998,142.25,148.100006,148.100006,29830800
3/24/2020,155.210007,161.309998,152.570007,160.979996,160.979996,30440400
3/25/2020,158.919998,162.990005,153.059998,156.210007,156.210007,35184300
3/26/2020,158.25,164,157.020004,163.339996,163.339996,26556800
3/27/2020,158.199997,160.089996,154.75,156.789993,156.789993,24879900
3/30/2020,159.179993,166.75,158.059998,165.949997,165.949997,22515200
3/31/2020,165.479996,170.929993,164.199997,166.800003,166.800003,23676300
4/1/2020,161.619995,164.149994,158.039993,159.600006,159.600006,19507600
4/2/2020,159.100006,161.350006,155.919998,158.190002,158.190002,20886300
4/3/2020,157.149994,157.910004,150.830002,154.179993,154.179993,25983300
4/6/2020,160.149994,166.199997,158.509995,165.550003,165.550003,28453600
4/7/2020,171.789993,173.389999,166.009995,168.830002,168.830002,31411900
4/8/2020,171.25,175,167.740005,174.279999,174.279999,21664200
4/9/2020,175.899994,177.080002,171.570007,175.190002,175.190002,23534300
4/13/2020,173.669998,175,169.449997,174.789993,174.789993,19355400
4/14/2020,178.979996,181.229996,176.619995,178.169998,178.169998,21011800
4/15/2020,175.190002,178.190002,172.820007,176.970001,176.970001,17423000
4/16/2020,177.949997,178.050003,172.509995,176.25,176.25,23492200
4/17/2020,179.199997,180.279999,176.660004,179.240005,179.240005,20964400
4/20/2020,177.410004,180.5,176.770004,178.240005,178.240005,16110700
4/21/2020,175.25,175.380005,168.339996,170.800003,170.800003,24850500
4/22/2020,178.449997,184.779999,178.139999,182.279999,182.279999,33369900
4/23/2020,184.080002,187.050003,183.149994,185.130005,185.130005,21426600
4/24/2020,183.229996,190.410004,180.830002,190.070007,190.070007,28868500
4/27/2020,192.660004,193.75,187.410004,187.5,187.5,29197800
4/28/2020,188.660004,189.199997,182.559998,182.910004,182.910004,21731000
4/29/2020,190.929993,196.910004,190,194.190002,194.190002,45954500
4/30/2020,206.919998,209.690002,201.570007,204.710007,204.710007,46173300
5/1/2020,201.600006,207.279999,199.050003,202.270004,202.270004,30415600
5/4/2020,200.199997,205.910004,198.759995,205.259995,205.259995,19250700
5/5/2020,207.020004,210.380005,206.5,207.070007,207.070007,21071200
5/6/2020,208.119995,211.600006,206.660004,208.470001,208.470001,21857000
5/7/2020,211.160004,211.600006,209.039993,211.259995,211.259995,15152000
5/8/2020,212.240005,213.210007,210.850006,212.350006,212.350006,12524000
5/11/2020,210.889999,215,210.369995,213.179993,213.179993,12893100
5/12/2020,213.289993,215.279999,210,210.100006,210.100006,14704600
5/13/2020,209.429993,210.779999,202.110001,205.100006,205.100006,20684600
5/14/2020,202.559998,206.929993,200.690002,206.809998,206.809998,17178900
5/15/2020,205.270004,211.339996,204.119995,210.880005,210.880005,19383200
5/18/2020,212.149994,214.639999,210.940002,213.190002,213.190002,20167400
5/19/2020,213.270004,220.490005,212.830002,216.880005,216.880005,31843200
5/20/2020,223.5,231.339996,223.190002,229.970001,229.970001,50162900
5/21/2020,234.720001,237.199997,231.199997,231.389999,231.389999,47782600
5/22/2020,231.509995,235.990005,228.740005,234.910004,234.910004,33925600
5/26/2020,239.770004,240.899994,231.669998,232.199997,232.199997,33178300
5/27/2020,229.070007,230.559998,221.130005,229.139999,229.139999,34697600
5/28/2020,224.300003,231.630005,224,225.460007,225.460007,29377200
5/29/2020,225.199997,227.490005,222.880005,225.089996,225.089996,23322500
6/1/2020,224.589996,232.440002,223.5,231.910004,231.910004,18223800
6/2/2020,230.940002,233,226.559998,232.720001,232.720001,20919000
6/3/2020,232.110001,232.649994,228.529999,230.160004,230.160004,15380300
6/4/2020,229.559998,231.630005,224.610001,226.289993,226.289993,17041500
6/5/2020,226.710007,231.350006,225.309998,230.770004,230.770004,16750400
6/8/2020,229.029999,231.550003,227.410004,231.399994,231.399994,15466500
6/9/2020,231.520004,239.770004,230.410004,238.669998,238.669998,27462900
6/10/2020,240.960007,241.210007,235.279999,236.729996,236.729996,20720700
6/11/2020,229.940002,232.889999,223.550003,224.429993,224.429993,26708200
6/12/2020,229.899994,231.660004,224.5,228.580002,228.580002,22071700
6/15/2020,225.089996,233.770004,224.800003,232.5,232.5,15340300
6/16/2020,237.139999,238.460007,233,235.649994,235.649994,15236700
6/17/2020,235,237.589996,231.729996,235.529999,235.529999,19552800
6/18/2020,234.990005,236.139999,232.149994,235.940002,235.940002,15782500
6/19/2020,237.789993,240.830002,235.550003,238.789993,238.789993,30081300
6/22/2020,238.559998,240.699997,236.910004,239.220001,239.220001,18917800
6/23/2020,241.279999,245.190002,239.860001,242.240005,242.240005,24017900
6/24/2020,241.199997,243.220001,232.679993,234.020004,234.020004,20834900
6/25/2020,234.619995,237.300003,232.740005,235.679993,235.679993,18704300
6/26/2020,232.639999,233.089996,215.399994,216.080002,216.080002,76343900
6/29/2020,209.75,220.75,207.110001,220.639999,220.639999,58514300
6/30/2020,220.589996,227.5,218.470001,227.070007,227.070007,33927100
7/1/2020,228.5,239,227.559998,237.550003,237.550003,43399700
7/2/2020,239,240,232.610001,233.419998,233.419998,30633600
7/6/2020,233.759995,240.399994,232.270004,240.279999,240.279999,26206200
7/7/2020,239.410004,247.649994,238.820007,240.860001,240.860001,27887800
7/8/2020,238.110001,246.990005,236.589996,243.580002,243.580002,29791300
7/9/2020,245,246.529999,239.240005,244.5,244.5,22174900
7/10/2020,243.690002,245.490005,239.320007,245.070007,245.070007,22982700
7/13/2020,247.009995,250.149994,238.419998,239,239,24674900
7/14/2020,236.759995,240.330002,232.029999,239.729996,239.729996,23378100
7/15/2020,241.550003,244.820007,238.050003,240.279999,240.279999,19133600
7/16/2020,238,241.759995,236.330002,240.929993,240.929993,18880700
7/17/2020,241,244.160004,237.860001,242.029999,242.029999,18152400
7/20/2020,240.059998,246.050003,235.639999,245.419998,245.419998,20872200
7/21/2020,246.220001,246.910004,240.080002,241.75,241.75,19409700
7/22/2020,240.259995,241.899994,238.119995,239.869995,239.869995,15427900
7/23/2020,239.630005,242.419998,231.75,232.600006,232.600006,21771800
7/24/2020,230.190002,233.490005,226.899994,230.710007,230.710007,18325800
7/27/2020,231.460007,234.949997,230.830002,233.5,233.5,13163100
7/28/2020,234.630005,234.960007,229.830002,230.119995,230.119995,14170100
7/29/2020,231.139999,233.699997,230.309998,233.289993,233.289993,13588300
7/30/2020,230.220001,234.889999,229,234.5,234.5,20615300
7/31/2020,255.820007,255.850006,249,253.669998,253.669998,53030000
8/3/2020,252.649994,255.399994,250.330002,251.960007,251.960007,23124900
8/4/2020,251.559998,252.800003,247.429993,249.830002,249.830002,17183500
8/5/2020,250.190002,252.270004,247.770004,249.119995,249.119995,13088400
8/6/2020,249.039993,266.600006,248.669998,265.279999,265.279999,45241600
8/7/2020,264.079987,278.890015,263.429993,268.440002,268.440002,72735500
8/10/2020,268.040009,273.859985,259.690002,263,263,30248800
8/11/2020,260.190002,265.920013,255.130005,256.130005,256.130005,28238300
8/12/2020,258.970001,263.899994,258.109985,259.890015,259.890015,21428300
8/13/2020,261.549988,265.160004,259.570007,261.299988,261.299988,17374000
8/14/2020,262.309998,262.649994,258.679993,261.23999,261.23999,14792700
8/17/2020,262.5,264.100006,259.399994,261.160004,261.160004,13351100
8/18/2020,260.950012,265.149994,259.26001,262.339996,262.339996,18690400
8/19/2020,261.390015,267.910004,261.350006,262.589996,262.589996,23291500
8/20/2020,261.5,269.630005,261.459991,269.01001,269.01001,20299700
8/21/2020,268.690002,270.48999,266.420013,267.01001,267.01001,15538600
8/24/2020,271.070007,277.25,268.769989,271.390015,271.390015,23685600
8/25/2020,272.410004,283.089996,270.26001,280.820007,280.820007,42127200
8/26/2020,284,304.670013,284,303.910004,303.910004,69015200
8/27/2020,300.160004,301.230011,292.019989,293.220001,293.220001,30301300
8/28/2020,295,297.230011,290.980011,293.660004,293.660004,17172400
8/31/2020,293.950012,296.880005,291.549988,293.200012,293.200012,17345100
9/1/2020,294.709991,301.48999,292.709991,295.440002,295.440002,17320900
9/2/2020,298.880005,303.600006,293.049988,302.5,302.5,24341400
9/3/2020,295.98999,297.600006,283.630005,291.119995,291.119995,32294100
9/4/2020,287.25,289,271.140015,282.730011,282.730011,30333700
9/8/2020,271.279999,279.299988,269.420013,271.160004,271.160004,24864000
9/9/2020,275.769989,278.480011,271.350006,273.720001,273.720001,22918800
9/10/2020,275.51001,279.160004,267.029999,268.089996,268.089996,24814700
9/11/2020,270.059998,271.390015,262.640015,266.609985,266.609985,18913900
9/14/2020,270.950012,276.640015,265.700012,266.149994,266.149994,24093800
9/15/2020,270.670013,274.519989,269.299988,272.420013,272.420013,18478500
9/16/2020,267.290009,272.440002,261.790009,263.519989,263.519989,29183400
9/17/2020,258.279999,261.5,250.190002,254.820007,254.820007,31281400
9/18/2020,258.399994,259.200012,250.050003,252.529999,252.529999,28130800
9/21/2020,247.539993,249.949997,244.130005,248.149994,248.149994,24709400
9/22/2020,253.309998,255.320007,248.220001,254.75,254.75,30293100
9/23/2020,255.259995,257.98999,248.149994,249.020004,249.020004,19641300
9/24/2020,246.5,252.240005,245.619995,249.529999,249.529999,20006800
9/25/2020,249.399994,255.75,246.610001,254.820007,254.820007,18351300
9/28/2020,259.399994,259.600006,254.820007,256.820007,256.820007,18826300
9/29/2020,257.809998,263.329987,256.899994,261.790009,261.790009,20200200
9/30/2020,261.980011,266.079987,260.100006,261.899994,261.899994,20105800
10/1/2020,265.350006,268.329987,264.799988,266.630005,266.630005,20009800
10/2/2020,261.209991,265.149994,259.179993,259.940002,259.940002,16367600
10/5/2020,262.200012,264.869995,260.839996,264.649994,264.649994,12822300
10/6/2020,261.779999,265.690002,258.23999,258.660004,258.660004,18696900
10/7/2020,259.209991,260.179993,254.820007,258.119995,258.119995,23133400
10/8/2020,259.75,264.619995,259.149994,263.76001,263.76001,16312800
10/9/2020,264.519989,264.75,262.170013,264.450012,264.450012,14107800
10/12/2020,270.200012,280.179993,267.869995,275.75,275.75,31019300
10/13/2020,277.579987,279.100006,273.390015,276.140015,276.140015,18063300
10/14/2020,277.619995,278.75,271.5,271.820007,271.820007,15601200
10/15/2020,267.600006,269.040009,263.670013,266.720001,266.720001,15416100
10/16/2020,267.380005,271.369995,265.299988,265.929993,265.929993,16622700
10/19/2020,265.529999,268.549988,259.880005,261.399994,261.399994,13573300
